Room,Date,Day,Start,Duration,Title,ID,Abstract,Description,Language,Speakers,File URL
mainhall,2018-06-07,1,18:00,00:30,Welcome Speech,100,A short welcome speech by the team.,A short welcome speech by the team.,en,1:LAC team, 
mainhall,2018-06-07,1,19:00,02:00,BBQ,101,"There will be a barbecue with a limited set of food. First come, first served!","There will be a barbecue with a limited set of food. First come, first served!",en,1:LAC team, 
mainhall,2018-06-07,1,21:00,01:30,Superdirt,58,,,en,2:Superdirt^2, 
mainhall,2018-06-07,1,23:00,02:00,Louigi Verona,8,"A minimal house DJ set with Mixxx. Already performed at Sonoj to positive reviews, so I am confident this could be a nice addition to music nights.

Unfortunately, I don’t have any recordings of my performances, however I am using only my 
original music for sets and here are the links to some of the tunes I will definitely include into the 
playlist:
https://soundcloud.com/louigiverona/serenity-berlin-songbook-vol2
https://soundcloud.com/louigiverona/boat-at-the-mouth-of-a-river-berlin-songbook-vol2
https://soundcloud.com/louigiverona/i-am-at-the-club-berlin-songbook-vol2
https://soundcloud.com/louigiverona/berlin-berlin-songbook-vol2
https://soundcloud.com/louigiverona/stranger-berlin-songbook-vol2
https://soundcloud.com/louigiverona/berlin-songbook-vol-2-lair","A minimal house DJ set with Mixxx. Already performed at Sonoj to positive reviews, so I am confident this could be a nice addition to music nights.

Unfortunately, I don’t have any recordings of my performances, however I am using only my 
original music for sets and here are the links to some of the tunes I will definitely include into the 
playlist:
https://soundcloud.com/louigiverona/serenity-berlin-songbook-vol2
https://soundcloud.com/louigiverona/boat-at-the-mouth-of-a-river-berlin-songbook-vol2
https://soundcloud.com/louigiverona/i-am-at-the-club-berlin-songbook-vol2
https://soundcloud.com/louigiverona/berlin-berlin-songbook-vol2
https://soundcloud.com/louigiverona/stranger-berlin-songbook-vol2
https://soundcloud.com/louigiverona/berlin-songbook-vol-2-lair",en,3:Louigi Verona, 
mainhall,2018-06-08,2,10:00,00:30,Using Perlin noise in sound synthesis,14,"Perlin noise is a well known algorithm in computer graphics applications and one of the first algorithms for generating procedural textures. It has been very widely used in movies, games, demos, and landscape generators, but despite its popularity it has been seldom used for creative purposes in the fields outside the world of computer graphics. This paper discusses the use of Perlin noise and fractional Brownian motion for sound synthesis applications.","Perlin noise is a well known algorithm in computer graphics applications and one of the first algorithms for generating procedural textures. It has been very widely used in movies, games, demos, and landscape generators, but despite its popularity it has been seldom used for creative purposes in the fields outside the world of computer graphics. This paper discusses the use of Perlin noise and fractional Brownian motion for sound synthesis applications.",en,4:Artem Popov, 
mainhall,2018-06-08,2,10:30,00:30,SpectMorph: Morphing the Timbre of Musical Instruments,18,"SpectMorph is an open source software which performs morphing of the timbre of musical instruments. This allows creating sounds that smoothly transition from the timbre of one instrument to the timbre of another instrument. There are three steps necessary to obtain the final sound. In the analysis, we use the fourier transform to create models of the spectrum of the input samples. During synthesis a time domain signal can be obtained from these data. An algorithm for morphing the spectral models of multiple instruments is the core of our method. Synthesis and morphing can be done in real-time. After the description of the theoretical background, we provide an overview of the features of the SpectMorph plugin.","SpectMorph is an open source software which performs morphing of the timbre of musical instruments. This allows creating sounds that smoothly transition from the timbre of one instrument to the timbre of another instrument. There are three steps necessary to obtain the final sound. In the analysis, we use the fourier transform to create models of the spectrum of the input samples. During synthesis a time domain signal can be obtained from these data. An algorithm for morphing the spectral models of multiple instruments is the core of our method. Synthesis and morphing can be done in real-time. After the description of the theoretical background, we provide an overview of the features of the SpectMorph plugin.",en,5:Stefan Westerfeld, 
mainhall,2018-06-08,2,11:00,00:30,"RSVP, a preset system solution for Pure Data",32,"This paper describes the logic and process behind the development of the RSVP preset library for the Pure Data programming environment. The library aims to tackle the lack of a native preset system in Pure Data. Other projects like Kollabs, CREAM, sssad, and others, have produced different solutions for this issue. However, after experimenting with the mentioned libraries, I decided to approach the matter with a different strategy. This led to the creation of the RSVP library which I will be describing in detail. During the development of this project, I have been theorizing of a feature request for PD that will also be shared here. This paper will offer a detailed description of how the system works, but will not go into extensive Pure Data patch descriptions. Instead, I wish to show how I structured the code and describe how the system functions with the users own projects.","This paper describes the logic and process behind the development of the RSVP preset library for the Pure Data programming environment. The library aims to tackle the lack of a native preset system in Pure Data. Other projects like Kollabs, CREAM, sssad, and others, have produced different solutions for this issue. However, after experimenting with the mentioned libraries, I decided to approach the matter with a different strategy. This led to the creation of the RSVP library which I will be describing in detail. During the development of this project, I have been theorizing of a feature request for PD that will also be shared here. This paper will offer a detailed description of how the system works, but will not go into extensive Pure Data patch descriptions. Instead, I wish to show how I structured the code and describe how the system functions with the users own projects.",en,6:Jose Rafael Subía Valdez, 
ceminar,2018-06-08,2,12:00,02:00,Introduction to pmpd,28,"Physical modelling is a synthesis technique where data is generated through emulating physical models, instead of using premade elements such as wave tables or recorded samples. Data based on physical models usually has a more “natural” expressivity, as it is based on rules similar to the physics of the natural world.
This workshop introduces pmpd, a library by Cyrille Henry that implements a mass-spring system to build physical models. The data generated by the circuits can be used as control data for audio or video, or to synthetize sounds directly.
The workshop will use the software Pure Data; the participants will receive commented didactic materials, which they will be able to later edit and tweak for their own use. To learn the concepts, experience in Pure Data isn’t necessary – although for further individual work it will be required.
Partitipants should bring their own laptops and headphones.","Physical modelling is a synthesis technique where data is generated through emulating physical models, instead of using premade elements such as wave tables or recorded samples. Data based on physical models usually has a more “natural” expressivity, as it is based on rules similar to the physics of the natural world.
This workshop introduces pmpd, a library by Cyrille Henry that implements a mass-spring system to build physical models. The data generated by the circuits can be used as control data for audio or video, or to synthetize sounds directly.
The workshop will use the software Pure Data; the participants will receive commented didactic materials, which they will be able to later edit and tweak for their own use. To learn the concepts, experience in Pure Data isn’t necessary – although for further individual work it will be required.
Partitipants should bring their own laptops and headphones.",en,7:Joao Pais, 
mainhall,2018-06-08,2,12:00,00:30,Open Hardware Multichannel Sound Interface for Hearing Aid Research on BeagleBone Black with openMHA: Cape4all,35,"The paper describes a new multichannel sound interface for the
BeagleBone Black, ""Cape4all"".
The sound interface has 6 input channels with optional microphone
pre-amplifiers and between 4 and 6 output channels.
The multichannel sound extension cape for the BeagleBone
Black is designed and produced.
An ALSA driver is written for it.
It is used with the openMHA hearing aid research software to perform
hearing aid signal processing on the BeagleBone Black with a
customized Debian distribution tailored to real-time audio signal processing.","The paper describes a new multichannel sound interface for the
BeagleBone Black, ""Cape4all"".
The sound interface has 6 input channels with optional microphone
pre-amplifiers and between 4 and 6 output channels.
The multichannel sound extension cape for the BeagleBone
Black is designed and produced.
An ALSA driver is written for it.
It is used with the openMHA hearing aid research software to perform
hearing aid signal processing on the BeagleBone Black with a
customized Debian distribution tailored to real-time audio signal processing.",en,8:Tobias Herzke| 9:Hendrik Kayser|10:Christopher Seifert| 11:Paul Maanen| 12:Christopher Obbard| 13:Guillermo Payá-Vayá| 14:Holger Blume| 15: Volker Hohmann, 
mainhall,2018-06-08,2,12:30,00:30,MRuby-Zest: a Scriptable Audio GUI Framework,38,"Audio tools face a set of uncommon user interface
design and implementation challenges. These constraints make high quality interfaces within the open
source realm particular difficult to execute on volunteer time. The challenges include producing a
unique identity for the application, providing easy
to use controls for the parameters of the application,
and providing interesting ways to visualize the data
within the application. Additionally, existing toolkits produce technical issues when embedding within
plugin hosts. MRuby-Zest is a new toolkit that was
build while the ZynAddSubFX user interface was
rewritten. This toolkit possesses unique characteristics within open source toolkits which target the
problems specific to audio applications.","Audio tools face a set of uncommon user interface
design and implementation challenges. These constraints make high quality interfaces within the open
source realm particular difficult to execute on volunteer time. The challenges include producing a
unique identity for the application, providing easy
to use controls for the parameters of the application,
and providing interesting ways to visualize the data
within the application. Additionally, existing toolkits produce technical issues when embedding within
plugin hosts. MRuby-Zest is a new toolkit that was
build while the ZynAddSubFX user interface was
rewritten. This toolkit possesses unique characteristics within open source toolkits which target the
problems specific to audio applications.",en,16:Mark McCurry, 
